Overview
User,Statements (#),Statement Total Time,Statement Avg Time,Table Scans (#),File IOs (#),Total File IO Time,Open Connections (#),Total Connections (#),Unique Hosts (#),Memory,Total Memory
root,956,3049975.90,3190.35,238,1323,806766.63,8,12,1,3679489,161392848
background,0,0.00,0.00,0,7280,2168281.32,43,49,0,947991,72649740
event_scheduler,0,0.00,0.00,0,0,0.00,1,1,1,16792,31130
